time,acc-side,acc-up/down,acc-front/back
1566152800988,3.68,20.88,-3.91
1566152801008,3.45,19.66,-2.38
1566152801028,3.91,14.6,-0.38
1566152801048,2.38,11.53,0.77
1566152801068,1.11,8.97,-0.34
1566152801088,-0.15,5.94,-1.88
1566152801108,-1.49,3.22,-1.65
1566152801128,-1.42,0.77,-1.03
1566152801148,-2.3,-3.72,-2.53
1566152801168,-4.1,-4.64,-5.94
1566152801188,-3.41,-5.17,-5.17
1566152801209,-1.19,-4.68,-4.45
1566152801229,0.38,-1.03,0.23
1566152801249,-2.11,3.83,-3.91
1566152801269,2.91,12.45,-1.34
1566152801289,7.86,32.65,-17.32
1566152801309,-1.84,8.58,6.17
1566152801329,-4.68,25.02,-5.63
1566152801349,-2.99,22.03,0.34
1566152801369,-2.45,19.81,-1.19
1566152801389,-1.11,17.51,-1.88
1566152801409,-0.96,14.33,-1.19
1566152801429,0,10.19,-0.57
1566152801449,0.54,7.59,-1.65
1566152801469,0.8,5.4,-2.57
1566152801489,1.34,3.1,0.19
1566152801509,1.88,0.27,-2.61
1566152801529,3.64,-2.34,-4.68
1566152801549,3.22,-4.14,-7.82
1566152801569,2.26,-5.67,-3.33
1566152801589,0.92,-3.76,-2.18
1566152801609,0.84,-0.73,0
1566152801629,2.49,2.91,-5.06
1566152801649,-1.38,11.42,-1
1566152801669,-0.15,43.8,-14.49
1566152801689,5.29,12.26,8.74
1566152801709,2.61,24.68,-9.2
1566152801729,4.14,21.77,0.19
1566152801750,4.91,19.43,-0.11
1566152801771,2.03,15.52,-1.07
1566152801791,1.46,12.07,0.23
1566152801811,0.42,8.09,-1.26
1566152801831,-0.04,5.29,-1.49
1566152801851,-0.77,2.41,-0.54
1566152801871,-0.77,-1.34,-1.92
1566152801891,-2.95,-2.22,-4.71
1566152801911,-3.68,-3.95,-5.29
1566152801931,-3.18,-5.36,-6.51
1566152801951,-0.84,-3.76,-3.07
1566152801971,-0.08,-0.31,0.54
1566152801991,-2.76,4.33,-1.95
1566152802011,2.57,15.48,-3.76
1566152802031,7.01,27.28,-19.43
1566152802051,0.08,2.3,6.32
1566152802071,-6.05,36.37,-4.87
1566152802091,-3.07,12.91,1.53
1566152802111,-1.26,23.41,-1.88
1566152802132,-0.5,16.71,-1.65
1566152802153,-0.73,13.53,0.23
1566152802173,-0.42,10.58,-0.46
1566152802193,0.15,6.05,-1.95
1566152802213,2.84,3.79,-0.96
1566152802233,1.42,4.02,-0.08
1566152802254,2.11,-0.8,-4.29
1566152802274,3.14,-4.25,-6.78
1566152802294,2.26,-6.32,-6.25
1566152802314,0.54,-4.64,-4.98
1566152802334,0.11,-2.64,0
1566152802354,0.27,0.5,-2.57
1566152802374,2.91,6.94,-1.65
1566152802394,-4.22,29.89,-7.74
1566152802414,1.88,8.97,-7.63
1566152802434,2.26,23.15,-3.03
1566152802454,4.45,21.5,-1.72
1566152802474,4.41,20.54,-1.53
1566152802494,2.91,19.12,-1.72
1566152802514,3.03,15.44,0.38
1566152802534,1.8,11.07,0.5
1566152802554,0.5,8.51,-0.96
1566152802574,-0.84,5.44,-0.57
1566152802594,-1.19,2.38,-0.31
1566152802614,-1.26,-1.23,-2.95
1566152802634,-2.45,-2.87,-4.75
1566152802654,-2.87,-4.45,-6.25
1566152802674,-1.84,-4.52,-4.6
1566152802694,0.23,-2.38,-1.84
1566152802714,-0.57,1.11,1.03
1566152802734,-2.34,6.02,-4.71
1566152802754,4.41,17.97,0.19
1566152802774,3.99,22.07,-21.92
1566152802794,-1.11,9.89,5.21
1566152802814,-1.72,28.32,-0.84
